result,r_multiple,end_bar,tp1_hit,entry,exit,symbol,signal,trade_type,rr_signal,signal_time,market_mode
BE_WIN,1.3,33,True,2.6588,2.6200306030470775,DOT/USDT,SELL,trend,1.72,2025-11-06 03:15:00,bear
BE_WIN,1.18,16,False,2.3445,2.3227458829996035,DOT/USDT,SELL,trend,3.33,2025-11-23 12:45:00,bear
BE_WIN,0.99,6,False,2.0666,2.056619916042523,DOT/USDT,SELL,trend,3.37,2025-12-02 07:15:00,bear
LOSS,-1.0,13,False,2.0868,2.1292798200401135,DOT/USDT,SELL,trend,2.87,2025-12-07 14:00:00,bear
BE_WIN,0.0,3,False,1.9992,1.9992,DOT/USDT,SELL,trend,3.15,2025-12-15 13:00:00,bear
LOSS,-1.0,90,False,1.9024,1.940940956878703,DOT/USDT,SELL,trend,1.84,2025-12-16 16:30:00,bear
LOSS,-1.0,32,False,1.7053,1.7361022408407432,DOT/USDT,SELL,trend,1.66,2025-12-26 17:45:00,bear
BE_WIN,1.67,90,True,1.5405,1.4769131616310882,DOT/USDT,SELL,trend,2.34,2026-02-02 20:30:00,bear
BE_WIN,0.0,76,False,1.3114,1.3114,DOT/USDT,SELL,trend,3.13,2026-02-05 15:15:00,bear
LOSS,-1.0,29,False,1.2855,1.3376255668788828,DOT/USDT,SELL,trend,3.49,2026-02-09 10:15:00,bear
LOSS,-1.0,32,False,1.2453,1.2941421286540187,DOT/USDT,SELL,trend,2.9,2026-02-11 06:00:00,bear
LOSS,-1.0,2,False,3.5168,3.5474576670612814,ATOM/USDT,SELL,trend,1.92,2025-10-12 20:15:00,bear
LOSS,-1.0,38,False,3.4748,3.558964943792374,ATOM/USDT,SELL,trend,2.94,2025-10-12 22:00:00,bear
LOSS,-1.0,26,False,3.4485,3.6024034305930734,ATOM/USDT,SELL,trend,2.69,2025-10-13 11:15:00,bear
BE_WIN,1.03,13,True,3.2045,3.119149028953071,ATOM/USDT,SELL,trend,2.05,2025-10-17 06:15:00,bear
LOSS,-1.0,32,False,3.1645,3.2128340873492887,ATOM/USDT,SELL,trend,2.7,2025-10-17 23:00:00,bear
BE_WIN,1.16,56,True,3.1864,3.161189054750571,ATOM/USDT,SELL,trend,1.79,2025-10-18 18:15:00,bear
LOSS,-1.0,7,False,2.9853,3.034721474587293,ATOM/USDT,SELL,trend,2.65,2025-10-31 13:30:00,bear
LOSS,-1.0,96,False,2.9872,3.040529358588398,ATOM/USDT,SELL,trend,2.49,2025-10-31 16:30:00,bear
LOSS,-1.0,29,False,3.0088,3.0516733676044314,ATOM/USDT,SELL,trend,1.57,2025-11-02 00:15:00,bear
BE_WIN,2.19,16,False,2.5796,2.4343644273125276,ATOM/USDT,SELL,trend,2.44,2025-11-04 16:15:00,bear
LOSS,-1.0,9,False,2.5729,2.618787231089829,ATOM/USDT,SELL,trend,3.39,2025-11-05 10:00:00,bear
LOSS,-1.0,69,False,2.6133,2.6770018650982763,ATOM/USDT,SELL,trend,3.08,2025-11-06 05:00:00,bear
LOSS,-1.0,1,False,2.3852,2.390979809219213,ATOM/USDT,SELL,fade,2.49,2025-12-03 04:00:00,bear
BE_WIN,1.14,14,True,2.3894,2.376133954891714,ATOM/USDT,SELL,fade,1.6,2025-12-03 08:15:00,bear
BE_WIN,0.0,89,False,2.2298,2.2298,ATOM/USDT,SELL,trend,1.59,2025-12-05 16:00:00,bear
BE_WIN,2.54,39,False,2.2258,2.164193464176596,ATOM/USDT,SELL,trend,3.08,2025-12-07 04:30:00,bear
BE_WIN,0.0,78,False,2.2403,2.2403,ATOM/USDT,SELL,trend,2.79,2025-12-08 16:45:00,bear
LOSS,-1.0,49,False,2.0993,2.07139737770415,ATOM/USDT,BUY,trend,2.39,2025-12-28 06:00:00,recovery
BE_WIN,0.9,8,False,2.2873,2.3060991904566293,ATOM/USDT,BUY,trend,2.87,2026-01-05 12:30:00,recovery
LOSS,-1.0,63,False,1.792,1.8600991612311948,ATOM/USDT,SELL,trend,2.24,2026-02-28 06:45:00,recovery
LOSS,-1.0,126,False,1.7448,1.7760408759561517,ATOM/USDT,SELL,trend,3.37,2026-03-08 12:00:00,bear
BE_WIN,1.71,92,True,1.7525,1.7064654617178903,ATOM/USDT,SELL,trend,1.71,2026-03-26 01:30:00,bear
LOSS,-1.0,65,False,1.6718,1.6901929007240934,ATOM/USDT,SELL,trend,1.76,2026-03-27 15:45:00,bear
LOSS,-1.0,18,False,8.633,8.770093355779796,INJ/USDT,SELL,trend,2.76,2025-10-12 10:15:00,bear
BE_WIN,0.0,56,False,9.607,9.607,INJ/USDT,SELL,trend,2.88,2025-10-12 21:15:00,bear
BE_WIN,2.45,24,True,9.91,9.412850814475519,INJ/USDT,SELL,trend,2.72,2025-10-14 00:30:00,bear
BE_WIN,1.46,58,True,9.541,9.274879574671347,INJ/USDT,SELL,trend,1.57,2025-10-14 23:30:00,bear
BE_WIN,1.32,97,True,8.895,8.3036669171235,INJ/USDT,SELL,trend,1.54,2025-10-16 15:30:00,bear
LOSS,-1.0,7,False,8.436,8.501466918750687,INJ/USDT,SELL,trend,3.48,2025-10-18 18:45:00,bear
LOSS,-1.0,9,False,7.69,7.808706644239381,INJ/USDT,SELL,trend,2.38,2025-10-31 12:45:00,bear
BE_WIN,0.0,75,False,6.428,6.428,INJ/USDT,SELL,trend,1.74,2025-11-06 05:45:00,bear
LOSS,-1.0,16,False,2.2915,2.3481858779997262,NEAR/USDT,SELL,trend,1.88,2025-10-12 10:45:00,bear
LOSS,-1.0,40,False,2.4582,2.5285532958464816,NEAR/USDT,SELL,trend,2.72,2025-10-12 21:30:00,bear
LOSS,-1.0,14,False,2.5279,2.5849348116964403,NEAR/USDT,SELL,trend,1.82,2025-10-13 14:15:00,bear
WIN,2.68,24,True,2.614,2.4153,NEAR/USDT,SELL,trend,2.62,2025-10-14 00:45:00,bear
LOSS,-1.0,80,False,2.1523,2.18789926912459,NEAR/USDT,SELL,trend,2.7,2025-10-18 07:45:00,bear
LOSS,-1.0,49,False,2.3849,2.3220704165984754,NEAR/USDT,BUY,trend,1.88,2025-10-27 01:15:00,recovery
BE_WIN,1.34,4,False,1.9187,1.8714455467553042,NEAR/USDT,SELL,trend,2.6,2025-11-04 05:00:00,bear
LOSS,-1.0,103,False,1.8138,1.9496382266143282,NEAR/USDT,SELL,trend,3.32,2025-11-04 17:00:00,bear
LOSS,-1.0,50,False,1.9315,1.9771055643890798,NEAR/USDT,SELL,trend,2.29,2025-11-06 01:00:00,bear
BE_WIN,1.79,6,True,2.7486,2.870202079290174,NEAR/USDT,BUY,trend,1.89,2025-11-09 13:30:00,recovery
LOSS,-1.0,31,False,1.8096,1.8615910810582887,NEAR/USDT,SELL,trend,1.72,2025-11-22 15:00:00,bear
BE_WIN,1.33,61,True,1.6291,1.5983569326594511,NEAR/USDT,SELL,trend,1.95,2025-12-14 08:45:00,bear
BE_WIN,1.82,17,False,1.6224,1.5911559875576824,NEAR/USDT,SELL,trend,2.23,2025-12-15 10:30:00,bear
BE_WIN,0.0,29,False,1.5527,1.5527,NEAR/USDT,SELL,trend,2.56,2025-12-17 06:30:00,bear
LOSS,-1.0,9,False,1.7697,1.7529974797407,NEAR/USDT,BUY,trend,1.84,2026-01-07 10:30:00,recovery
WIN,3.09,36,True,1.5474,1.509,NEAR/USDT,SELL,trend,2.84,2026-01-22 05:45:00,bear
BE_WIN,0.0,51,False,1.1801,1.1801,NEAR/USDT,SELL,trend,2.68,2026-02-01 15:00:00,bear
BE_WIN,1.93,92,True,1.2118,1.1573093080393668,NEAR/USDT,SELL,trend,2.69,2026-02-02 20:00:00,bear
LOSS,-1.0,39,False,0.9964,1.0450500020047755,NEAR/USDT,SELL,trend,3.18,2026-02-09 10:15:00,bear
BE_WIN,1.48,36,True,1.0301,1.0046218272365508,NEAR/USDT,SELL,trend,2.55,2026-02-09 23:45:00,bear
LOSS,-1.0,115,False,0.9648,1.0046529557278427,NEAR/USDT,SELL,trend,3.08,2026-02-11 06:00:00,bear
BE_WIN,0.0,24,False,1.3534,1.3534,NEAR/USDT,BUY,trend,2.47,2026-03-03 15:15:00,recovery
LOSS,-1.0,24,False,1.3605,1.338074172159203,NEAR/USDT,BUY,trend,2.44,2026-03-13 16:00:00,recovery
BE_WIN,0.0,6,False,1.1878,1.1878,NEAR/USDT,SELL,trend,3.23,2026-03-28 20:15:00,bear
BE_WIN,0.0,65,False,22.727,22.727,AVAX/USDT,SELL,trend,2.79,2025-10-12 21:15:00,bear
LOSS,-1.0,11,False,22.5,23.1513290491342,AVAX/USDT,SELL,trend,2.65,2025-10-13 14:15:00,bear
BE_WIN,1.17,27,True,23.363,22.68471893959763,AVAX/USDT,SELL,trend,2.36,2025-10-14 02:45:00,bear
LOSS,-1.0,20,False,22.676,22.942236303294088,AVAX/USDT,SELL,trend,3.23,2025-10-15 02:45:00,bear
LOSS,-1.0,12,False,19.937,20.227520031750043,AVAX/USDT,SELL,trend,3.13,2025-10-18 04:00:00,bear
LOSS,-1.0,81,False,19.89,20.37944053946541,AVAX/USDT,SELL,trend,1.76,2025-10-18 14:00:00,bear
BE_WIN,0.0,16,False,19.485,19.485,AVAX/USDT,SELL,trend,2.95,2025-10-23 11:00:00,bear
BE_WIN,0.0,38,True,19.472,19.472,AVAX/USDT,SELL,trend,1.51,2025-10-23 19:00:00,bear
LOSS,-1.0,3,False,18.312,18.47874498129646,AVAX/USDT,SELL,trend,3.16,2025-11-01 06:30:00,bear
BE_WIN,1.17,4,False,18.681,18.59950160193211,AVAX/USDT,SELL,trend,1.87,2025-11-01 20:45:00,bear
BE_WIN,1.32,4,False,16.735,16.33516146524302,AVAX/USDT,SELL,trend,2.72,2025-11-04 05:00:00,bear
LOSS,-1.0,17,False,16.474,16.66375852647236,AVAX/USDT,SELL,trend,2.65,2025-11-05 08:00:00,bear
LOSS,-1.0,39,False,15.565,15.749101861374362,AVAX/USDT,SELL,trend,3.09,2025-11-15 08:00:00,bear
BE_WIN,0.8,40,True,14.56,14.31296518007672,AVAX/USDT,SELL,trend,1.71,2025-11-18 21:30:00,bear
LOSS,-1.0,5,False,13.252,13.328922335300065,AVAX/USDT,SELL,trend,1.51,2025-11-22 05:15:00,bear
LOSS,-1.0,40,False,13.164,13.358942949850034,AVAX/USDT,SELL,trend,3.27,2025-11-22 12:45:00,bear
LOSS,-1.0,16,False,13.313,13.400725868989548,AVAX/USDT,SELL,trend,3.26,2025-11-23 10:00:00,bear
LOSS,-1.0,22,False,13.351,13.455814711428566,AVAX/USDT,SELL,trend,3.09,2025-11-23 16:15:00,bear
LOSS,-1.0,11,False,13.381,13.523169793753148,AVAX/USDT,SELL,trend,2.49,2025-11-24 02:30:00,bear
LOSS,-1.0,42,False,12.216,12.401333054091138,AVAX/USDT,SELL,trend,1.61,2025-12-17 04:15:00,bear
BE_WIN,1.74,93,False,10.13,9.777337546491461,AVAX/USDT,SELL,trend,2.95,2026-02-02 19:45:00,bear
BE_WIN,0.0,25,False,9.928,9.928,AVAX/USDT,SELL,trend,1.61,2026-02-04 13:30:00,bear
BE_WIN,0.8,31,False,8.848,8.326740745886578,AVAX/USDT,SELL,trend,2.53,2026-02-05 17:00:00,bear
LOSS,-1.0,19,False,9.127,9.267006041513993,AVAX/USDT,SELL,trend,1.55,2026-02-08 03:45:00,bear
LOSS,-1.0,29,False,8.781,9.156943848928332,AVAX/USDT,SELL,trend,3.29,2026-02-09 10:15:00,bear
LOSS,-1.0,60,False,9.651,9.398362905420353,AVAX/USDT,BUY,trend,1.9,2026-02-14 21:45:00,recovery
LOSS,-1.0,79,False,8.215,8.453988295749044,AVAX/USDT,SELL,trend,2.8,2026-02-24 05:15:00,bear
LOSS,-1.0,8,False,17.3598,17.608176723342137,LINK/USDT,SELL,trend,2.72,2025-10-12 10:15:00,bear
BE_WIN,0.0,24,False,19.2126,19.2126,LINK/USDT,SELL,trend,1.92,2025-10-12 20:00:00,bear
LOSS,-1.0,2,False,19.1878,19.353815105938104,LINK/USDT,SELL,trend,2.2,2025-10-13 05:45:00,bear
LOSS,-1.0,12,False,19.5437,19.717265942915702,LINK/USDT,SELL,trend,2.2,2025-10-13 07:45:00,bear
LOSS,-1.0,17,False,19.5599,19.895601383540413,LINK/USDT,SELL,trend,2.41,2025-10-13 14:15:00,bear
BE_WIN,2.18,17,False,19.9246,19.53022572561041,LINK/USDT,SELL,fade,5.37,2025-10-13 23:30:00,bear
BE_WIN,1.07,18,False,17.5493,17.358216878564907,LINK/USDT,SELL,trend,3.5,2025-10-23 09:00:00,bear
BE_WIN,0.0,34,False,15.2207,15.2207,LINK/USDT,SELL,trend,2.55,2025-11-05 20:15:00,bear
BE_WIN,1.19,4,False,15.0934,14.955817658605662,LINK/USDT,SELL,trend,1.83,2025-11-07 08:15:00,bear
BE_WIN,1.07,9,False,14.1615,14.006967859904243,LINK/USDT,SELL,trend,3.24,2025-11-15 07:00:00,bear
LOSS,-1.0,59,False,11.9728,12.184735487429599,LINK/USDT,SELL,trend,1.69,2025-11-22 08:00:00,bear
BE_WIN,1.53,94,False,9.7874,9.392557909027673,LINK/USDT,SELL,trend,2.97,2026-02-02 19:45:00,bear
BE_WIN,0.87,39,False,8.5731,7.97697138477716,LINK/USDT,SELL,trend,2.97,2026-02-05 15:00:00,bear
LOSS,-1.0,76,False,8.2135,8.592685831970998,LINK/USDT,SELL,trend,2.78,2026-02-11 16:30:00,bear
LOSS,-1.0,26,False,9.1854,8.958021820453506,LINK/USDT,BUY,trend,3.12,2026-02-14 21:00:00,normal
LOSS,-1.0,23,False,94.75,96.82676963269535,LTC/USDT,SELL,trend,2.29,2025-10-12 09:00:00,bear
LOSS,-1.0,2,False,97.43,99.0026822111244,LTC/USDT,SELL,trend,1.97,2025-10-12 15:30:00,bear
BE_WIN,1.17,169,False,99.11,95.19259412182176,LTC/USDT,SELL,trend,2.72,2025-10-12 21:30:00,bear
LOSS,-1.0,10,False,97.11,98.5197017742951,LTC/USDT,SELL,trend,1.62,2025-10-15 03:30:00,bear
BE_WIN,1.24,21,False,98.73,97.02761007090162,LTC/USDT,SELL,trend,2.84,2025-10-15 08:45:00,bear
LOSS,-1.0,7,False,88.64,89.60537333714407,LTC/USDT,SELL,trend,3.41,2025-11-05 21:00:00,bear
BE_WIN,0.91,53,False,88.94,87.90204040110491,LTC/USDT,SELL,trend,3.16,2025-11-06 00:00:00,bear
BE_WIN,0.0,22,False,89.1,89.1,LTC/USDT,SELL,trend,1.96,2025-11-07 09:15:00,bear
LOSS,-1.0,81,False,83.47,84.57935620537818,LTC/USDT,SELL,trend,2.36,2025-11-23 06:00:00,bear
BE_WIN,2.22,4,False,87.51,86.86694105491405,LTC/USDT,SELL,fade,3.36,2025-11-27 21:30:00,bear
LOSS,-1.0,30,False,77.43,78.61956626417569,LTC/USDT,SELL,trend,2.3,2025-12-02 03:15:00,bear
LOSS,-1.0,91,False,79.67,81.33360459453569,LTC/USDT,SELL,trend,2.99,2025-12-14 11:30:00,bear
BE_WIN,0.0,23,False,68.58,68.58,LTC/USDT,SELL,trend,3.04,2026-01-21 08:15:00,bear
BE_WIN,0.0,86,False,68.79,68.79,LTC/USDT,SELL,trend,2.97,2026-01-22 03:30:00,bear
LOSS,-1.0,3,False,68.63,68.82748247263503,LTC/USDT,SELL,trend,1.58,2026-01-24 12:45:00,bear
BE_WIN,0.0,49,False,58.73,58.73,LTC/USDT,SELL,trend,3.06,2026-02-01 10:45:00,bear
LOSS,-1.0,7,False,59.15,60.25286691321949,LTC/USDT,SELL,trend,2.38,2026-02-03 02:45:00,bear
BE_WIN,1.12,23,True,54.7,54.153942842106325,LTC/USDT,SELL,trend,2.12,2026-02-09 22:15:00,bear
LOSS,-1.0,79,False,50.42,51.987792650560124,LTC/USDT,SELL,trend,3.39,2026-02-24 05:15:00,bear
BE_WIN,0.97,26,False,57.7,58.12413973615558,LTC/USDT,BUY,trend,2.94,2026-03-17 13:30:00,recovery
LOSS,-1.0,9,False,1.5641,1.5847609501559807,FIL/USDT,SELL,trend,3.4,2025-10-12 12:30:00,bear
BE_WIN,0.95,39,False,1.6781,1.6554899366397142,FIL/USDT,SELL,trend,3.0,2025-10-12 20:45:00,bear
LOSS,-1.0,20,False,1.6361,1.6935237169918653,FIL/USDT,SELL,trend,1.72,2025-10-13 12:45:00,bear
BE_WIN,2.62,18,False,1.7169,1.642999428749825,FIL/USDT,SELL,trend,2.91,2025-10-14 02:00:00,bear
BE_WIN,0.0,11,False,1.6749,1.6749,FIL/USDT,SELL,trend,2.84,2025-10-14 23:30:00,bear
LOSS,-1.0,21,False,1.6665,1.6881772912572117,FIL/USDT,SELL,trend,3.21,2025-10-15 03:00:00,bear
BE_WIN,0.0,13,False,1.6861,1.6861,FIL/USDT,SELL,trend,3.15,2025-10-15 09:00:00,bear
LOSS,-1.0,38,False,1.3633,1.4098969338899763,FIL/USDT,SELL,trend,1.96,2025-11-05 08:00:00,bear
LOSS,-1.0,97,False,2.7967,2.5098693723988763,FIL/USDT,BUY,trend,2.86,2025-11-09 14:30:00,recovery
LOSS,-1.0,66,False,1.9183,2.0108902411286405,FIL/USDT,SELL,trend,3.39,2025-11-16 16:45:00,bear
WIN,2.12,41,True,1.868,1.78,FIL/USDT,SELL,trend,2.0,2025-11-20 06:45:00,bear
LOSS,-1.0,12,False,1.2694,1.28952558496758,FIL/USDT,SELL,trend,2.25,2025-12-16 13:00:00,bear
LOSS,-1.0,28,False,1.2685,1.2946061304308856,FIL/USDT,SELL,trend,1.7,2025-12-16 17:15:00,bear
WIN,2.03,34,True,1.4698,1.5024,FIL/USDT,BUY,trend,1.92,2026-01-03 13:00:00,recovery
BE_WIN,0.0,4,False,1.0848,1.0848,FIL/USDT,SELL,trend,1.83,2026-02-02 23:00:00,bear
LOSS,-1.0,10,False,1.0695,1.0895119049077358,FIL/USDT,SELL,trend,3.17,2026-02-03 02:00:00,bear
BE_WIN,0.0,93,False,0.9401,0.9401,FIL/USDT,SELL,trend,3.4,2026-02-05 15:15:00,bear
LOSS,-1.0,15,False,0.9746,0.9894664321511193,FIL/USDT,SELL,trend,2.01,2026-02-06 23:15:00,bear
BE_WIN,1.76,11,True,0.9859,0.9670717306620812,FIL/USDT,SELL,trend,1.5,2026-02-07 04:15:00,bear
BE_WIN,1.79,72,True,0.974,0.9416402498912607,FIL/USDT,SELL,trend,1.62,2026-02-08 00:00:00,bear
LOSS,-1.0,33,False,0.8995,0.9407117431676794,FIL/USDT,SELL,trend,3.13,2026-02-09 10:15:00,bear
BE_WIN,2.16,31,False,0.9407,0.9214666426058524,FIL/USDT,SELL,trend,2.33,2026-02-09 23:00:00,bear
LOSS,-1.0,147,False,0.8838,0.9217924416465128,FIL/USDT,SELL,trend,2.98,2026-02-10 19:15:00,bear
